territory,offset,cfr
Spain,19,0.01142
Spain,20,0.01159
Spain,21,0.01151
Spain,22,0.01160
Spain,23,0.01185
Spain,24,0.01226
Spain,25,0.01226
Spain,26,0.01323
Spain,27,0.01353
Spain,28,0.01341
Spain,29,0.01340
Spain,30,0.01360
Spain,31,0.01320
Spain,32,0.01320
Spain,33,0.01452
Spain,34,0.01487
Spain,35,0.01961
Portugal,0,0.00843
Portugal,1,0.00868
Portugal,2,0.00899
Portugal,3,0.00924
Portugal,4,0.00937
Portugal,5,0.00980
Portugal,6,0.00968
Portugal,7,0.01093
Portugal,8,0.01161
Portugal,9,0.01192
Portugal,10,0.01236
Portugal,11,0.01292
Portugal,12,0.01292
Portugal,13,0.01330
Portugal,14,0.01392
Portugal,15,0.01467
Portugal,16,0.01492
Portugal,17,0.01498
Portugal,18,0.01592
Portugal,19,0.01642
Portugal,20,0.01679
Portugal,21,0.01736
Portugal,22,0.01798
Portugal,23,0.01879
Portugal,24,0.01960
Portugal,25,0.02123
Portugal,26,0.02323
Portugal,27,0.02435
Portugal,28,0.02585
Portugal,29,0.02697
Portugal,30,0.02853
Portugal,31,0.03065
Portugal,32,0.03272
Portugal,33,0.03428
Portugal,34,0.03715
Portugal,35,0.03852
Germany,0,0.00386
Germany,1,0.00399
Germany,2,0.00408
Germany,3,0.00424
Germany,4,0.00463
Germany,5,0.00466
Germany,6,0.00477
Germany,7,0.00495
Germany,8,0.00511
Germany,9,0.00541
Germany,10,0.00564
Germany,11,0.00586
Germany,12,0.00607
Germany,13,0.00618
Germany,14,0.00621
Germany,15,0.00705
Germany,16,0.00774
Germany,17,0.00812
Germany,18,0.00874
Germany,19,0.00892
Germany,20,0.00920
Germany,21,0.01004
Germany,22,0.01063
Germany,23,0.01088
Germany,24,0.01166
Germany,25,0.01257
Germany,26,0.01367
Germany,27,0.01456
Germany,28,0.01625
Germany,29,0.01789
Germany,30,0.01937
Germany,31,0.02154
Germany,32,0.02177
Germany,33,0.02284
Germany,34,0.02572
Germany,35,0.02889
Denmark,0,0.00248
Denmark,1,0.00248
Denmark,2,0.00238
Denmark,3,0.00248
Denmark,4,0.00248
Denmark,5,0.00268
Denmark,6,0.00307
Denmark,7,0.00307
Denmark,8,0.00347
Denmark,9,0.00347
Denmark,10,0.00357
Denmark,11,0.00357
Denmark,12,0.00377
Denmark,13,0.00397
Denmark,14,0.00377
