territory,offset,cfr
Montenegro,17,0.01641
Montenegro,18,0.01695
Montenegro,19,0.01730
Montenegro,20,0.01784
Montenegro,21,0.01819
Montenegro,22,0.01802
Montenegro,23,0.01766
Montenegro,24,0.01766
Montenegro,25,0.01784
Montenegro,26,0.01927
Montenegro,27,0.01998
Montenegro,28,0.01998
Montenegro,29,0.02105
Montenegro,30,0.02158
Montenegro,31,0.02212
Montenegro,32,0.02301
Montenegro,33,0.02479
Montenegro,34,0.02515
Montenegro,35,0.02497
Latvia,0,0.00664
Latvia,1,0.00997
Latvia,2,0.00997
Latvia,3,0.00997
Latvia,4,0.00997
Latvia,5,0.00997
Latvia,6,0.00997
Latvia,7,0.01329
Latvia,8,0.01329
Latvia,9,0.01661
Latvia,10,0.01661
Latvia,11,0.01661
Latvia,12,0.01661
Latvia,13,0.01661
Latvia,14,0.01661
Latvia,15,0.01993
Latvia,16,0.01993
Latvia,17,0.01661
Latvia,18,0.01993
Latvia,19,0.01993
Latvia,20,0.01993
Latvia,21,0.01993
Latvia,22,0.03322
Latvia,23,0.03987
Latvia,24,0.04319
Latvia,25,0.04651
Latvia,26,0.06645
Latvia,27,0.07973
Latvia,28,0.08970
Latvia,29,0.08638
Latvia,30,0.08970
Latvia,31,0.10631
Latvia,32,0.10963
Latvia,33,0.11960
Latvia,34,0.12957
Latvia,35,0.13289
Lithuania,0,0.00379
Lithuania,1,0.00379
Lithuania,2,0.00379
Lithuania,3,0.00379
Lithuania,4,0.00442
Lithuania,5,0.00505
Lithuania,6,0.00505
Lithuania,7,0.00505
Lithuania,8,0.00821
Lithuania,9,0.00947
Lithuania,10,0.01010
Lithuania,11,0.01073
Lithuania,12,0.01073
Lithuania,13,0.01010
Lithuania,14,0.01010
Lithuania,15,0.01199
Lithuania,16,0.01389
Lithuania,17,0.01452
Lithuania,18,0.01578
Lithuania,19,0.01641
Lithuania,20,0.01641
Lithuania,21,0.01641
Lithuania,22,0.01957
Lithuania,23,0.02083
Lithuania,24,0.02273
Lithuania,25,0.02336
Lithuania,26,0.02841
Lithuania,27,0.02841
Lithuania,28,0.03093
Lithuania,29,0.03283
Lithuania,30,0.03662
Lithuania,31,0.04104
Lithuania,32,0.04545
Lithuania,33,0.04545
Lithuania,34,0.04798
Lithuania,35,0.05114
Estonia,0,0.00000
Estonia,1,0.00000
Estonia,2,0.00000
Estonia,3,0.00112
Estonia,4,0.00224
Estonia,5,0.00336
Estonia,6,0.00336
Estonia,7,0.00336
Estonia,8,0.00336
Estonia,9,0.00336
Estonia,10,0.00336
Estonia,11,0.00448
Estonia,12,0.00448
Estonia,13,0.00448
Estonia,14,0.00448
Estonia,15,0.00448
Estonia,16,0.00448
Estonia,17,0.00448
Estonia,18,0.00448
Estonia,19,0.00448
Estonia,20,0.00448
Estonia,21,0.00448
Estonia,22,0.00785
Estonia,23,0.00785
Estonia,24,0.00785
Estonia,25,0.01009
Estonia,26,0.01009
Estonia,27,0.01009
Estonia,28,0.01009
Estonia,29,0.01009
Estonia,30,0.01009
Estonia,31,0.00897
Estonia,32,0.00785
Estonia,33,0.00673
Estonia,34,0.00673
Estonia,35,0.00673
Cyprus,0,0.00444
Cyprus,1,0.00444
Cyprus,2,0.00444
Cyprus,3,0.00444
Cyprus,4,0.00444
Cyprus,5,0.00444
Cyprus,6,0.00444
Cyprus,7,0.00444
Cyprus,8,0.00889
Cyprus,9,0.01333
Cyprus,10,0.01333
Cyprus,11,0.01778
Cyprus,12,0.01778
Cyprus,13,0.01778
Cyprus,14,0.01333
Cyprus,15,0.01333
Cyprus,16,0.01333
Cyprus,17,0.01333
Cyprus,18,0.01333
Cyprus,19,0.01333
Cyprus,20,0.01333
Cyprus,21,0.01333
Cyprus,22,0.01333
Cyprus,23,0.01333
Cyprus,24,0.01333
Cyprus,25,0.01333
Cyprus,26,0.01333
Cyprus,27,0.01333
Cyprus,28,0.01333
Cyprus,29,0.01333
Cyprus,30,0.01333
Cyprus,31,0.01333
Cyprus,32,0.01778
Cyprus,33,0.01778
Cyprus,34,0.01778
Cyprus,35,0.02222
Moldova,0,0.02144
Moldova,1,0.02116
Moldova,2,0.02074
Moldova,3,0.02102
Moldova,4,0.02081
Moldova,5,0.02032
Moldova,6,0.02123
Moldova,7,0.02109
Moldova,8,0.02116
Moldova,9,0.02172
Moldova,10,0.02228
Moldova,11,0.02298
Moldova,12,0.02382
Moldova,13,0.02368
Moldova,14,0.02438
Moldova,15,0.02459
Moldova,16,0.02487
Moldova,17,0.02522
Moldova,18,0.02543
Moldova,19,0.02578
Moldova,20,0.02669
Moldova,21,0.02732
Moldova,22,0.02711
Moldova,23,0.02704
Moldova,24,0.02725
Moldova,25,0.02739
Moldova,26,0.02844
Moldova,27,0.02893
Moldova,28,0.02865
Moldova,29,0.02935
Moldova,30,0.02991
Moldova,31,0.03012
Moldova,32,0.03090
Moldova,33,0.03132
Moldova,34,0.03167
Moldova,35,0.03244
Croatia,0,0.01439
Croatia,1,0.01473
Croatia,2,0.01489
Croatia,3,0.01506
Croatia,4,0.01606
Croatia,5,0.01606
Croatia,6,0.01673
Croatia,7,0.01657
Croatia,8,0.01690
Croatia,9,0.01724
Croatia,10,0.01707
Croatia,11,0.01707
Croatia,12,0.01657
Croatia,13,0.01673
Croatia,14,0.01673
Croatia,15,0.01673
Croatia,16,0.01640
Croatia,17,0.01774
Croatia,18,0.01690
Croatia,19,0.01857
Croatia,20,0.01924
Croatia,21,0.02025
Croatia,22,0.02125
Croatia,23,0.02276
Croatia,24,0.02426
Croatia,25,0.02460
Croatia,26,0.02811
Croatia,27,0.03012
Croatia,28,0.03313
Croatia,29,0.03648
Croatia,30,0.03865
Croatia,31,0.04133
Croatia,32,0.04267
Croatia,33,0.04501
Croatia,34,0.04953
Croatia,35,0.05489
