gn,gender
MAKSMILIJAN,M
MALIK,M
MALTILDA,F
MANDA,F
MANDAC,M
MANUEL,M
MANUELA,F
MANULA,F
MARA,F
MARCEL,M
MARCELA,F
MARCIJA,F
MARCO,M
MARCOS,M
MARE,F
MARGARET,F
MARGARETA,F
MARGARITA,F
MARGITA,F
MARI,F
MARIA,F
MARIANA,F
MARICA,F
MARIELA,F
MARIETA,F
MARIJA,F
MARIJAN,M
MARIJANA,F
MARIJETA,F
MARIJO,M
MARIN,M
MARINA,F
MARINEA,F
MARINELA,F
MARINKO,M
MARINO,M
MARIO,M
MARIS,F
MARISA,F
MARITA,F
MARJAN,M
MARK,M
MARKO,M
MARKUS,M
MARLA,F
MARO,M
MAROJE,M
MARSEL,M
MARSELA,F
MARTA,F
MARTIN,M
MARTINA,F
MARTINO,M
MARUL,M
MARY,F
MASHA,F
MATE,M
MATEA,F
MATEAS,M
MATEJ,M
MATEJA,F
MATEO,M
MATHEO,M
MATIAS,M
MATIJA,M
MATIJAS,M
MATILDA,F
MATINO,M
MATKO,M
MATO,M
MATRINA,F
MATTEA,F
MATTEO,M
MAURICE,M
MAURICIO,M
MAURIZIO,M
MAURO,M
MAX,M
MAXIM,M
MAXIMILIAN,M
MAYA,F
MAŠA,F
MEGI,F
MELANI,F
MELANIE,F
MELANIJA,F
MELINA,F
MELISA,F
MELISSA,F
MELITA,F
MELKIOR,M
MERI,F
METEJ,M
MIA,F
MIAMARIA,F
MICHAEL,M
MICHAELA,F
MICHELLE,F
MIHAEL,M
MIHAELA,F
MIHAILO,M
MIHAJEL,M
MIHAJLO,M
MIHAL,M
MIHO,M
MIHOVIL,M
MIJA,F
MIJO,M
MIKA,F
MIKAEL,M
MIKEL,M
MIKELA,F
MIKULA,F
MILA,F
MILAN,M
MILANA,F
MILE,M
MILENA,F
MILENKO,M
MILICA,F
MILJENKO,M
MILKA,F
MILORAD,M
MILOS,M
MILOŠ,M
MIRA,F
MIRAN,M
MIRANO,M
MIREL,M
MIRELA,F
MIRIAM,F
MIRJAM,F
MIRJAN,M
MIRJANA,F
MIRKO,M
MIRNA,F
MIRO,M
MIRON,M
MIROSLAV,M
MIRTA,F
MISLAV,M
MISLAVA,F
MIŠKO,M
MIŠO,M
MLADEN,M
MONA,F
MONIKA,F
MORANA,F
MORENA,F
MORENO,M
MORGAN,M
MORIS,M
MURA,F
MURATOVIK,M
NADA,F
NADAN,M
NADJA,F
NAJA,F
NAJDAN,M
NAMIK,M
NANDO,M
NARDA,F
NATALI,F
