ccode,week,caseRate,deathRate
ITA,2021-22,64.8592134388062,16.4147480693305
ITA,2021-23,46.648735524506,11.6697289645087
ITA,2021-24,31.7983347430903,8.29959172044802
ITA,2021-25,21.2385713783667,5.83486448225437
ITA,2021-26,18.2725152665541,4.12464558228326
ITA,2021-27,24.2247477125319,3.1018676126927
ITA,2021-28,46.3938793747064,2.43119353427265
ITA,2021-29,84.0757024707365,2.31382557054914
ITA,2021-30,116.841484571948,2.74976372152217
ITA,2021-31,135.732696675844,3.95697706267825
ITA,2021-32,143.717071579435,6.3378700410694
ITA,2021-33,148.369872998474,9.13793431847307
ITA,2021-34,153.232260067019,11.3846924811802
ITA,2021-35,144.270377694131,12.9104760095858
ITA,2021-36,122.416462848814,13.3799478644798
ITA,2021-37,103.803580487462,12.8937091576253
ITA,2021-38,88.0863334596883,11.9882991517583
ITA,2021-39,74.7214757619729,10.5463498831552
ITA,2021-40,65.3135951269358,8.73552987142105
ITA,2021-41,60.2198255013356,7.56185023418597
ITA,2021-42,72.5870555074012,7.52831653026497
ITA,2021-43,96.5720372368979,8.41695968417153
ITA,2021-44,119.309565180533,9.5235719135646
ITA,2021-45,155.827768750505,11.2337908135357
ITA,2021-46,206.379827411415,13.4805489762429
ITA,2021-47,260.499872169521,15.760840842871
ITA,2021-48,319.867941591263,17.7896299300916
ITA,2021-49,381.685648084434,21.1262334702313
ITA,2021-50,495.889706842995,25.0832105329096
ITA,2021-51,780.579116335931,29.5767268583239
ITA,2021-52,1777.06833873763,33.7181392925676
LVA,2021-01,693.933715124432,149.396516702269
LVA,2021-02,690.21190716448,172.461242087882
LVA,2021-03,599.578020365104,152.541706527579
LVA,2021-04,554.339706711049,160.404681090857
LVA,2021-05,565.71480991259,139.436748922117
LVA,2021-06,548.573525364645,110.081643885882
LVA,2021-07,509.468331869946,107.984850669008
LVA,2021-08,496.939992399125,102.218669322605
LVA,2021-09,461.92354567733,87.0169185002687
LVA,2021-10,398.12861205394,73.9119608948065
LVA,2021-11,371.027559725844,65.5247880273107
LVA,2021-12,380.515549032199,56.6134168555965
LVA,2021-13,351.003184504698,61.3312015935629
LVA,2021-14,344.293446210702,66.5731846357477
LVA,2021-15,378.942954119543,65.0005897230923
LVA,2021-16,404.052052891609,62.9037965062183
LVA,2021-17,441.165292830278,62.3795982019998
LVA,2021-18,453.274273657725,61.3312015935629
LVA,2021-19,431.31036471097,60.8070032893444
LVA,2021-20,365.995256005347,68.6699778526216
LVA,2021-21,268.389531759865,58.7102100724704
LVA,2021-22,202.707484241289,44.0326575543528
LVA,2021-23,153.69494279686,39.8390711206049
LVA,2021-24,104.734821182854,33.0244931657646
LVA,2021-25,61.8553998977813,25.1615186024873
LVA,2021-26,43.0366807763377,20.9679321687394
LVA,2021-27,36.1172631606537,9.43556947593275
LVA,2021-28,27.6776704627361,5.76618134640335
LVA,2021-29,30.5083413055159,6.29037965062183
LVA,2021-30,38.790674512168,3.14518982531092
LVA,2021-31,49.2746405965377,3.6693881295294
LVA,2021-32,64.1094526059208,4.19358643374789
LVA,2021-33,85.1298046050821,6.29037965062183
LVA,2021-34,115.166367436801,8.91137117171426
LVA,2021-35,182.05407105508,13.1049576054622
LVA,2021-36,255.49425347609,25.1615186024873
LVA,2021-37,316.720615408809,35.645484686857
LVA,2021-38,398.023772393096,47.1778473796637
LVA,2021-39,580.864140904504,60.2828049851259
LVA,2021-40,864.403003656283,73.387762590588
LVA,2021-41,1256.76543436382,111.130040494319
LVA,2021-42,1640.5834327126,178.751621738504
LVA,2021-43,1757.26997523163,244.800608070033
LVA,2021-44,1533.33245966949,274.679911410487
LVA,2021-45,1111.35282477361,267.341135151428
LVA,2021-46,749.18421638906,236.413435202537
LVA,2021-47,632.864612682978,177.703225130067
LVA,2021-48,587.783558520188,129.476981141966
LVA,2021-49,499.613403750639,104.839660843697
LVA,2021-50,514.238536438335,86.4927201960502
LVA,2021-51,497.306931212078,77.0571507201174
LVA,2021-52,518.012764228708,73.387762590588
LTU,2021-01,1005.40784298287,221.181135897555
LTU,2021-02,716.29761389218,146.380395763916
LTU,2021-03,499.554416643702,119.180126624411
LTU,2021-04,423.823140986869,98.7799247697819
LTU,2021-05,336.20964249541,74.8007401336392
LTU,2021-06,257.472021302105,57.2637245042214
LTU,2021-07,232.275982520248,57.9795210605242
LTU,2021-08,240.901331023697,55.1163348353131
LTU,2021-09,228.696999738734,53.3268434445562
LTU,2021-10,214.381068612679,49.7478606630424
LTU,2021-11,234.351792533526,38.6530140403495
LTU,2021-12,290.649191686739,38.6530140403495
LTU,2021-13,366.917314760799,43.3056916563174
LTU,2021-14,425.111574788214,47.9583692722854
LTU,2021-15,475.718391318819,52.9689451664048
LTU,2021-16,510.935581888916,55.8321313916159
LTU,2021-17,482.375299292435,45.4530813252258
LTU,2021-18,556.388663214141,49.7478606630424
LTU,2021-19,587.418443929866,55.8321313916159
LTU,2021-20,426.68632721208,39.7267088748036
LTU,2021-21,283.920704057493,31.4950484773218
LTU,2021-22,183.816555658551,27.5581674176566
LTU,2021-23,115.672723498527,18.2528121857206
LTU,2021-24,62.4174597096013,9.30535523193598
LTU,2021-25,28.9897605302621,4.65267761596799
LTU,2021-26,16.3201614837031,3.57898278151384
LTU,2021-27,18.10965287446,2.1473896689083
LTU,2021-28,30.8508315766493,2.50528794705969
LTU,2021-29,63.2048359215344,3.93688105966522
LTU,2021-30,118.750648690629,6.44216900672491
LTU,2021-31,185.999735155274,16.4633207949637
LTU,2021-32,239.612897222351,31.1371501991704
LTU,2021-33,271.537423633455,38.2951157621981
LTU,2021-34,287.10599873304,42.5898951000147
LTU,2021-35,315.344172879184,43.6635899344688
LTU,2021-36,381.269035714669,60.4848090075839
LTU,2021-37,486.025861729579,85.1797902000294
LTU,2021-38,603.523866446679,96.6325351008736
LTU,2021-39,660.250743533673,101.285212716842
LTU,2021-40,805.414285151874,110.232669670626
LTU,2021-41,1052.25672759288,136.001345697526
LTU,2021-42,1316.88671445802,156.043649274003
LTU,2021-43,1490.28843022236,166.422699340394
LTU,2021-44,2047.6076289597,234.423372189156
LTU,2021-45,2427.48086138958,285.602825964804
LTU,2021-46,2017.5799634228,252.676184374877
LTU,2021-47,1753.7373527696,215.454763447133
LTU,2021-48,1418.67298476427,163.201614837031
LTU,2021-49,969.868543962435,117.390635233654
LTU,2021-50,821.770236463392,117.032736955503
LTU,2021-51,737.413612303111,96.6325351008736
LTU,2021-52,774.098185813628,57.2637245042214
LUX,2021-01,359.203204558958,91.0386067579395
LUX,2021-02,318.315689944866,92.6357752975525
LUX,2021-03,285.893168590722,68.6782472033579
LUX,2021-04,313.524184326027,60.692404505293
LUX,2021-05,355.370000063887,71.8725842825838
LUX,2021-06,359.203204558958,59.09523596568
LUX,2021-07,380.285829281849,57.4980674260671
LUX,2021-08,417.659573108793,68.6782472033579
LUX,2021-09,407.597411309231,86.2471011391006
LUX,2021-10,397.535249509669,97.4272809163914
LUX,2021-11,459.984539408537,95.8301123767785
LUX,2021-12,534.732027062424,95.8301123767785
LUX,2021-13,533.294575376772,84.6499325994876
LUX,2021-14,473.081321433363,63.886741584519
LUX,2021-15,432.513240527193,43.1235505695503
LUX,2021-16,421.492777603864,25.5546966338076
LUX,2021-17,391.146575351217,25.5546966338076
LUX,2021-18,342.27321803906,27.1518651734206
LUX,2021-19,286.85146971449,15.9716853961297
LUX,2021-20,215.45803599379,20.7631910149687
LUX,2021-21,147.7380899142,20.7631910149687
LUX,2021-22,117.232170807592,9.58301123767785
LUX,2021-23,94.0732269832042,4.79150561883892
LUX,2021-24,55.7411820324928,6.3886741584519
LUX,2021-25,42.4846831537051,4.79150561883892
LUX,2021-26,175.049671941582,1.59716853961297
LUX,2021-27,293.399860726903,3.19433707922595
LUX,2021-28,272.476952857973,11.1801797772908
LUX,2021-29,237.978112402333,14.3745168565168
LUX,2021-30,195.493429248628,4.79150561883892
LUX,2021-31,174.730238233659,4.79150561883892
LUX,2021-32,153.487896656807,9.58301123767785
LUX,2021-33,152.689312387,6.3886741584519
LUX,2021-34,195.493429248628,1.59716853961297
LUX,2021-35,212.742849476448,3.19433707922595
LUX,2021-36,206.673609025919,7.98584269806487
LUX,2021-37,197.410031496164,6.3886741584519
LUX,2021-38,198.048898912009,3.19433707922595
LUX,2021-39,205.715307902151,3.19433707922595
LUX,2021-40,238.137829256295,4.79150561883892
LUX,2021-41,290.205523647677,7.98584269806487
LUX,2021-42,343.550952870751,6.3886741584519
