ccode,week,group,denom,dose1,dose2,dose3,doseX,doses,cumDose1,cumDose2,cumDose3,cumDoses
LTU,2021-W30,U18,498821,4061,2072,0,0,6133,32987,22277,0,55264
LTU,2021-W31,ALL,2794090,68942,23711,0,0,92653,1451773,1165554,0,2617327
LTU,2021-W31,U18,498821,5903,2223,0,0,8126,38890,24500,0,63390
LTU,2021-W32,ALL,2794090,59655,31518,0,0,91173,1511428,1197072,0,2708500
LTU,2021-W32,U18,498821,5321,2789,0,0,8110,44211,27289,0,71500
LTU,2021-W33,ALL,2794090,49491,47603,0,0,97094,1560919,1244675,0,2805594
LTU,2021-W33,U18,498821,4559,3790,0,0,8349,48770,31079,0,79849
LTU,2021-W34,ALL,2794090,35319,37758,0,0,73077,1596238,1282433,0,2878671
LTU,2021-W34,U18,498821,4285,5363,0,0,9648,53055,36442,0,89497
LTU,2021-W35,ALL,2794090,24773,30112,0,0,54885,1621011,1312545,0,2933556
LTU,2021-W35,U18,498821,2811,5223,0,0,8034,55866,41665,0,97531
LTU,2021-W36,ALL,2794090,20695,26125,4203,386,51409,1641706,1338670,4203,2984965
LTU,2021-W36,U18,498821,1635,4145,0,5,5785,57501,45810,0,103316
LTU,2021-W37,ALL,2794090,18996,21227,8005,707,48935,1660702,1359897,12208,3033900
LTU,2021-W37,U18,498821,1509,3638,1,0,5148,59010,49448,1,108464
LTU,2021-W38,ALL,2794090,16088,16796,6878,535,40297,1676790,1376693,19086,3074197
LTU,2021-W38,U18,498821,1222,2870,0,1,4093,60232,52318,1,112557
LTU,2021-W39,ALL,2794090,14477,15936,6990,623,38026,1691267,1392629,26076,3112223
LTU,2021-W39,U18,498821,1321,1956,0,2,3279,61553,54274,1,115836
LTU,2021-W40,ALL,2794090,12700,14471,7722,981,35874,1703967,1407100,33798,3148097
LTU,2021-W40,U18,498821,936,1529,1,0,2466,62489,55803,2,118302
LTU,2021-W41,ALL,2794090,12618,10713,8808,857,32996,1716585,1417813,42606,3181093
LTU,2021-W41,U18,498821,888,1154,7,1,2050,63377,56957,9,120352
LTU,2021-W42,ALL,2794090,14331,7586,16154,202,38273,1730916,1425399,58760,3219366
LTU,2021-W42,U18,498821,840,1224,2,0,2066,64217,58181,11,122418
LTU,2021-W43,ALL,2794090,15763,6954,20219,0,42936,1746679,1432353,78979,3262302
LTU,2021-W43,U18,498821,829,917,0,0,1746,65046,59098,11,124164
LTU,2021-W44,ALL,2794090,10847,5588,21309,0,37744,1757526,1437941,100288,3300046
LTU,2021-W44,U18,498821,881,755,2,0,1638,65927,59853,13,125802
LTU,2021-W45,ALL,2794090,13671,6841,40588,0,61100,1771197,1444782,140876,3361146
LTU,2021-W45,U18,498821,1294,827,5,0,2126,67221,60680,18,127928
