Country,ISO3,2018,2017,2016,2015,2014,2013,2012
"Myanmar",MMR,29,30,28,22,21,21,15
"Paraguay",PRY,29,29,30,27,24,24,25
"Guinea",GIN,28,27,27,25,25,24,24
"Iran",IRN,28,30,29,27,27,25,28
"Lebanon",LBN,28,28,28,28,27,28,30
"Mexico",MEX,28,29,30,31,35,34,34
"Papua New Guinea",PNG,28,29,28,25,25,25,25
"Russia",RUS,28,29,29,29,27,28,28
"Comoros",COM,27,27,24,26,26,28,28
"Guatemala",GTM,27,28,28,28,32,29,33
"Kenya",KEN,27,28,26,25,25,27,27
"Mauritania",MRT,27,28,27,31,30,30,31
"Nigeria",NGA,27,27,28,26,27,25,27
"Bangladesh",BGD,26,28,26,25,25,27,26
"Central African Republic",CAF,26,23,20,24,24,25,26
"Uganda",UGA,26,26,25,25,26,26,29
"Azerbaijan",AZE,25,31,30,29,29,28,27
"Cameroon",CMR,25,25,26,27,27,25,26
"Madagascar",MDG,25,24,26,28,28,28,32
"Nicaragua",NIC,25,26,26,27,28,28,29
"Tajikistan",TJK,25,21,25,26,23,22,22
"Eritrea",ERI,24,20,18,18,18,20,25
"Mozambique",MOZ,23,25,27,31,31,30,31
"Uzbekistan",UZB,23,22,21,19,18,17,17
"Zimbabwe",ZWE,22,22,22,21,21,21,20
"Cambodia",KHM,20,21,21,21,21,20,22
"Democratic Republic of the Congo",COD,20,21,21,22,22,22,21
"Haiti",HTI,20,22,20,17,19,19,19
"Turkmenistan",TKM,20,19,22,18,17,17,17
"Angola",AGO,19,19,18,15,19,23,22
"Chad",TCD,19,20,20,22,22,19,19
"Congo",COG,19,21,20,23,23,22,26
"Iraq",IRQ,18,18,17,16,16,16,18
"Venezuela",VEN,18,18,17,17,19,20,19
"Burundi",BDI,17,22,20,21,20,21,19
"Libya",LBY,17,17,14,16,18,15,21
"Afghanistan",AFG,16,15,15,11,12,8,8
"Equatorial Guinea",GNQ,16,17,,,,19,20
"Guinea Bissau",GNB,16,17,16,17,19,19,25
"Sudan",SDN,16,16,14,12,11,11,13
