country,w,offset,r
Bosnia and Herzegovina,1,19,0.7624
Bosnia and Herzegovina,1,2,0.2581
Bosnia and Herzegovina,1,20,0.7835
Bosnia and Herzegovina,1,21,0.7601
Bosnia and Herzegovina,1,22,0.7386
Bosnia and Herzegovina,1,23,0.7369
Bosnia and Herzegovina,1,24,0.7704
Bosnia and Herzegovina,1,25,0.8139
Bosnia and Herzegovina,1,26,0.8486
Bosnia and Herzegovina,1,27,0.8224
Bosnia and Herzegovina,1,3,0.3403
Bosnia and Herzegovina,1,4,0.4220
Bosnia and Herzegovina,1,5,0.4702
Bosnia and Herzegovina,1,6,0.4794
Bosnia and Herzegovina,1,7,0.4727
Bosnia and Herzegovina,1,8,0.4792
Bosnia and Herzegovina,1,9,0.5045
Bosnia and Herzegovina,15,0,0.1510
Bosnia and Herzegovina,15,1,0.1806
Bosnia and Herzegovina,15,10,0.5755
Bosnia and Herzegovina,15,11,0.6194
Bosnia and Herzegovina,15,12,0.6597
Bosnia and Herzegovina,15,13,0.6962
Bosnia and Herzegovina,15,14,0.7325
Bosnia and Herzegovina,15,15,0.7639
Bosnia and Herzegovina,15,16,0.7871
Bosnia and Herzegovina,15,17,0.8194
Bosnia and Herzegovina,15,18,0.8455
Bosnia and Herzegovina,15,19,0.8674
Bosnia and Herzegovina,15,2,0.2184
Bosnia and Herzegovina,15,20,0.8843
Bosnia and Herzegovina,15,21,0.8958
Bosnia and Herzegovina,15,22,0.9066
Bosnia and Herzegovina,15,23,0.9138
Bosnia and Herzegovina,15,24,0.9177
Bosnia and Herzegovina,15,25,0.9190
Bosnia and Herzegovina,15,26,0.9171
Bosnia and Herzegovina,15,27,0.9110
Bosnia and Herzegovina,15,3,0.2609
Bosnia and Herzegovina,15,4,0.3025
Bosnia and Herzegovina,15,5,0.3435
Bosnia and Herzegovina,15,6,0.3868
Bosnia and Herzegovina,15,7,0.4325
Bosnia and Herzegovina,15,8,0.4790
Bosnia and Herzegovina,15,9,0.5274
Bosnia and Herzegovina,3,0,0.2745
Bosnia and Herzegovina,3,1,0.2974
Bosnia and Herzegovina,3,10,0.6228
Bosnia and Herzegovina,3,11,0.6377
Bosnia and Herzegovina,3,12,0.6522
Bosnia and Herzegovina,3,13,0.6637
Bosnia and Herzegovina,3,14,0.6814
Bosnia and Herzegovina,3,15,0.6967
Bosnia and Herzegovina,3,16,0.7005
